date,volume,open,close,high,low
24-01-2017,4958144,250,254.61,254.8,249.65
23-01-2017,6262097,245.85,248.92,250.8899,245.5
20-01-2017,4199720,245.46,244.73,246,243.01
19-01-2017,7717244,247.25,243.76,248.68,240.75
18-01-2017,3767272,236.65,238.36,239.71,235.58
17-01-2017,4614731,236.7,235.58,239.96,234.37
13-01-2017,6085610,230,237.75,237.85,229.59
12-01-2017,3787547,229.06,229.59,230.7,225.58
11-01-2017,3649910,229.07,229.73,229.98,226.68
10-01-2017,3658981,232,229.87,232,226.89
09-01-2017,3972716,228.97,231.28,231.92,228
06-01-2017,5524153,226.93,229.01,230.31,225.45
05-01-2017,5908927,226.42,226.75,227.48,221.95
04-01-2017,11204560,214.75,226.99,228,214.31
03-01-2017,5901494,214.86,216.99,220.33,210.96
30-12-2016,4641288,216.3,213.69,217.5,211.68
29-12-2016,4043086,218.56,214.68,219.2,214.1225
28-12-2016,3778544,221.53,219.74,223.8,217.2
27-12-2016,5913335,214.88,219.53,222.25,214.42
23-12-2016,4668263,208,213.34,213.45,207.71
22-12-2016,3108427,208.22,208.45,209.99,206.5
21-12-2016,5206143,208.45,207.7,212.23,207.41
20-12-2016,4684269,203.05,208.79,209,202.5
19-12-2016,3486937,202.49,202.73,204.45,199.84
16-12-2016,3795444,198.08,202.49,202.59,197.6
15-12-2016,3218653,198.41,197.58,200.74,197.39
14-12-2016,4147314,198.74,198.69,203,196.76
13-12-2016,6819322,193.18,198.15,201.28,193
12-12-2016,2436428,192.8,192.43,194.42,191.04
09-12-2016,2720937,190.87,192.18,193.836,190.81
08-12-2016,3193684,192.05,192.29,192.5,189.54
07-12-2016,5457071,186.15,193.15,193.4,185
06-12-2016,3389365,185.52,185.85,186.58,182.6825
05-12-2016,4069480,182.51,186.8,188.89,182.51
02-12-2016,4040201,182.88,181.47,184.88,180
01-12-2016,5119105,188.25,181.88,188.53,181
30-11-2016,3544891,191,189.4,191.89,187.5
29-11-2016,4435312,195.56,189.57,196.73,189.5
28-11-2016,4521082,195.48,196.12,199.35,194.55
25-11-2016,2366098,193.64,196.65,197.2372,193.64
23-11-2016,4890285,190.61,193.14,195.644,189
22-11-2016,5601238,185.84,191.17,191.47,183.71
21-11-2016,4355872,185.04,184.52,188.89,184.41
18-11-2016,5206473,190.65,185.02,193,185
17-11-2016,4880969,183.49,188.66,189.49,182.1101
16-11-2016,3432668,182.65,183.93,184.73,181.21
15-11-2016,3899743,182.78,183.77,186.43,182.05
14-11-2016,6547913,188,181.45,188.25,178.19
11-11-2016,3987091,184.24,188.56,188.88,183
10-11-2016,6746290,191.05,185.35,191.61,180.42
09-11-2016,8166447,186.875,190.06,192,183.95
08-11-2016,3252927,193.79,194.94,197.49,191.26
07-11-2016,3857682,193.59,193.21,194.29,190.05
04-11-2016,5143915,189,190.56,193.46,185.96
03-11-2016,2644550,189,187.42,191.47,187.0401
02-11-2016,4242250,190.05,188.02,192.6951,187.505
01-11-2016,7023674,198.04,190.79,198.5,188.105
31-10-2016,4691320,202.49,197.73,202.49,195.81
28-10-2016,4273456,204,199.97,205.32,199.83
27-10-2016,13070990,211.34,204.01,213.7,201.65
26-10-2016,5346893,201,202.24,203.19,200.1
25-10-2016,2442118,202.9,202.34,204.69,201.2
24-10-2016,2747344,201,202.76,203.9452,200.25
21-10-2016,2936908,198.6,200.09,201.57,197.41
20-10-2016,5069410,202.12,199.1,203,197.05
19-10-2016,6966185,199.74,203.56,206.66,198.06
18-10-2016,5676046,195.99,199.1,199.47,193.26
17-10-2016,4518331,197.05,193.96,198.39,192
14-10-2016,4265471,200.66,196.51,201.43,196.3
13-10-2016,2495140,200.5,200.24,200.895,197.05
12-10-2016,1969099,200.95,201.51,203.88,200.42
11-10-2016,2326754,201.85,200.1,202.2,198.31
10-10-2016,3311340,201.35,200.95,204.14,199.66
07-10-2016,3489480,201,196.61,201.32,195.8
06-10-2016,4697937,202.46,201,204.2099,200.21
05-10-2016,1872456,212.24,208.46,213.15,208.12
04-10-2016,3537953,213.1,211.41,213.32,208.82
03-10-2016,5989342,212.3,213.7,215.6688,208.25
30-09-2016,2581730,202.21,204.03,204.98,199.55
29-09-2016,2714040,205.6,200.7,207.33,200.58
28-09-2016,2079324,207.51,206.27,208.25,205.26
27-09-2016,3367907,209.65,205.81,209.9818,204.6093
26-09-2016,2393373,206.5,208.99,211,206.5
23-09-2016,2904125,205.99,207.45,210.18,205.67
22-09-2016,2381600,206.4,206.43,207.28,203
